id,gender,hand,exercise,measure,value
3803,F,dominant,isometric,isometric_fatigue_time,36
3803,F,dominant,isometric,pre_minus_post_isometric,10
3803,F,non-dominant,isotonic,grip_pre_any_exercise,22
3803,F,non-dominant,isotonic,grip_post_isotonic,17
3803,F,non-dominant,isotonic,isotonic_fatigue_time,35
3803,F,non-dominant,isotonic,post_minus_pre_isotonic,5
3803,F,non-dominant,isometric,grip_pre_isometric,15
3803,F,non-dominant,isometric,grip_post_isometric,15
3803,F,non-dominant,isometric,isometric_fatigue_time,36
3803,F,non-dominant,isometric,pre_minus_post_isometric,7
1012,F,dominant,isotonic,grip_pre_any_exercise,25
1012,F,dominant,isotonic,grip_post_isotonic,20
1012,F,dominant,isotonic,isotonic_fatigue_time,40
1012,F,dominant,isotonic,post_minus_pre_isotonic,5
1012,F,dominant,isometric,grip_pre_isometric,28
1012,F,dominant,isometric,grip_post_isometric,6
1012,F,dominant,isometric,isometric_fatigue_time,45
1012,F,dominant,isometric,pre_minus_post_isometric,22
1012,F,non-dominant,isotonic,grip_pre_any_exercise,4
1012,F,non-dominant,isotonic,grip_post_isotonic,13
1012,F,non-dominant,isotonic,isotonic_fatigue_time,35
1012,F,non-dominant,isotonic,post_minus_pre_isotonic,-9
1012,F,non-dominant,isometric,grip_pre_isometric,10
1012,F,non-dominant,isometric,grip_post_isometric,10
1012,F,non-dominant,isometric,isometric_fatigue_time,45
1012,F,non-dominant,isometric,pre_minus_post_isometric,-6
